Pokémon,Type 1,Type 2,Habitat,Couleur(s),Stade d'évolution,Hauteur,Poids
Empiflor,Plante,Poison,Forêt,"Vert,Jaune",3,1m70,15.5kg
Tentacool,Eau,Poison,Mer,"Bleu,Rouge",1,90cm,45.5kg
Tentacruel,Eau,Poison,Mer,"Bleu,Rouge",2,1m60,55kg
Racaillou,Roche,Sol,Montagne,Gris,1,40cm,20kg
Gravalanch,Roche,Sol,Montagne,Gris,2,1m,105kg
Grolem,Roche,Sol,Montagne,Gris,3,1m40,300kg
Ponyta,Feu,Aucun,Champs,"Orange,Jaune",1,1m,30kg
Galopa,Feu,Aucun,Champs,"Orange,Jaune",2,1m70,95kg
Ramoloss,Eau,Psy,Marécages,Rose,1,1m20,36kg
Flagadoss,Eau,Psy,Marécages,Rose,2,1m60,78.5kg
Magneti,Électrik,Aucun,Milieux hostiles,Gris,1,30cm,6kg
Magneton,Électrik,Aucun,Milieux hostiles,Gris,2,1m,60kg
Canarticho,Normal,Vol,Champs,Marron,1,80cm,15kg
Doduo,Normal,Vol,Champs,Marron,1,1m40,39.2kg
Dodrio,Normal,Vol,Champs,Marron,2,1m80,85.2kg
Otaria,Eau,Aucun,Mer,Blanc,1,1m10,90kg
Lamantine,Eau,Glace,Mer,Blanc,2,1m70,120kg
Tadmorv,Poison,Aucun,Urbain,Violet,1,90cm,30kg
Grotadmorv,Poison,Aucun,Urbain,Violet,2,1m20,30kg
Kokiyas,Eau,Aucun,Mer,"Noir,Violet",1,30cm,4kg
Crustabri,Eau,Glace,Mer,Violet,2,1m50,132.5kg
Fantominus,Spectre,Poison,Grotte,"Noir,Violet",1,1m30,100g
Spectrum,Spectre,Poison,Grotte,Violet,2,1m60,100g
Ectoplasma,Spectre,Poison,Grotte,Violet,3,1m50,40.5kg
Onix,Roche,Sol,Grotte,Gris,1,8m80,210kg
Soporifik,Psy,Aucun,Champs,"Marron,Jaune",1,1m,32.4kg
Hypnomade,Psy,Aucun,Champs,Jaune,2,1m60,75.6kg
Krabby,Eau,Aucun,Marécages,"Orange,Blanc",1,40cm,6.5kg
Krabboss,Eau,Aucun,Marécages,"Orange,Blanc",2,1m30,60kg
Voltorbe,Électrik,Aucun,Urbain,"Rouge,Blanc",1,50cm,10.4kg
Electrode,Électrik,Aucun,Urbain,"Rouge,Blanc",2,1m20,66.6kg
Noeunoeuf,Plante,Psy,Forêt,Rose,1,40cm,2.5kg
Noadkoko,Plante,Psy,Forêt,"Marron,Jaune",2,2m,120kg
Osselait,Sol,Aucun,Montagne,Marron,1,40cm,6.5kg
Ossatueur,Sol,Aucun,Montagne,Marron,2,1m,45kg
Kicklee,Combat,Aucun,Urbain,Marron,1,1m50,49.8kg
Tygnon,Combat,Aucun,Urbain,Marron,1,1m40,50.2kg
Excelangue,Normal,Aucun,Champs,Rose,1,1m20,65.5kg
Smogo,Poison,Aucun,Urbain,Violet,1,60cm,1kg
Smogogo,Poison,Aucun,Urbain,Violet,2,1m20,9.5kg
Rhinocorne,Sol,Roche,Milieux hostiles,Gris,1,1m,115kg
Rhinoferos,Sol,Roche,Milieux hostiles,Gris,2,1m90,120kg
Leveinard,Normal,Aucun,Urbain,Rose,1,1m10,34.6kg
Saquedeneu,Plante,Aucun,Champs,Bleu,1,1m,35kg
Kangourex,Normal,Aucun,Champs,Marron,1,2m20,80kg
Hypotrempe,Eau,Aucun,Mer,Bleu,1,40cm,8kg
Hypocean,Eau,Aucun,Mer,Bleu,2,1m20,25kg
Poissirene,Eau,Aucun,Marécages,"Rouge,Blanc",1,60cm,15kg
Poissoroy,Eau,Aucun,Marécages,"Rouge,Blanc",2,1m30,39kg
Stari,Eau,Aucun,Mer,"Marron,Jaune",1,80cm,34.5kg
Staross,Eau,Psy,Mer,Violet,2,1m10,80kg
M. Mime,Psy,Aucun,Urbain,"Rose,Blanc",1,1m30,54.5kg
Insecateur,Insecte,Vol,Champs,Vert,1,1m50,56kg
Lippoutou,Glace,Psy,Urbain,"Violet,Rouge",1,1m40,40.6kg
Elektek,Électrik,Aucun,Champs,"Noir,Jaune",1,1m10,30kg
Magmar,Feu,Aucun,Montagne,"Rouge,Jaune",1,1m30,44.5kg
Scarabrute,Insecte,Aucun,Forêt,Marron,1,1m50,55kg
Tauros,Normal,Aucun,Champs,Marron,1,1m40,88.4kg
Magicarpe,Eau,Aucun,Marécages,"Orange,Rouge",1,90cm,10kg
Leviator,Eau,Vol,Marécages,Bleu,2,6m50,235kg
Lokhlass,Eau,Glace,Mer,Bleu,1,2m50,220kg
Metamorph,Normal,Aucun,Urbain,Violet,1,30cm,4kg
Evoli,Normal,Aucun,Urbain,Marron,1,30cm,6.5kg
Aquali,Eau,Aucun,Urbain,Bleu,2,1m,29kg
Voltali,Électrik,Aucun,Urbain,Jaune,2,80cm,24.5kg
Pyroli,Feu,Aucun,Urbain,Orange,2,90cm,25kg
Porygon,Normal,Aucun,Urbain,"Bleu,Rose",1,80cm,36.5kg
Amonita,Roche,Eau,Mer,"Bleu,Blanc",1,40cm,7.5kg
Amonistar,Roche,Eau,Mer,"Bleu,Blanc",2,1m,35kg
Kabuto,Roche,Eau,Mer,"Noir,Marron",1,50cm,11.5kg
Kabutops,Roche,Eau,Mer,Marron,2,1m30,40.5kg
Ptera,Roche,Vol,Montagne,"Gris,Violet",1,1m80,59kg
Ronflex,Normal,Aucun,Montagne,"Bleu,Blanc",1,2m10,460kg
Artikodin,Glace,Vol,Rare,Bleu,1,1m70,55.4kg
Electhor,Électrik,Vol,Rare,Jaune,1,1m60,52.6kg
Sulfura,Feu,Vol,Rare,Jaune,1,2m,60kg
Minidraco,Dragon,Aucun,Marécages,Bleu,1,1m80,3.3kg
Draco,Dragon,Aucun,Marécages,Bleu,2,4m,16.5kg
Dracolosse,Dragon,Vol,Marécages,Orange,3,2m20,210kg
Mewtwo,Psy,Aucun,Rare,"Gris,Violet",1,2m,122kg
Mew,Psy,Aucun,Rare,Rose,1,40cm,4kg
Alakazam,Psy,Aucun,Urbain,Jaune,3,1m50,48kg
